date,GOOG,AAPL,AMZN,FB,NFLX,MSFT,timestamp,aapl_close,aapl_lag_1,aapl_lag_2,aapl_return_1,aapl_return_4,aapl_return_12,aapl_ma_3,aapl_ma_8,aapl_ma_gap_3_8,aapl_volatility_4,aapl_volatility_12,aapl_bollinger_width_proxy,aapl_volume_proxy,msft_return_1,market_peer_return_1,cross_asset_relative_return,sequence_lag_1,sequence_lag_2,sequence_lag_3,sequence_lag_4,sequence_lag_5,label
2018-01-01,1.0,1.0,1.0,1.0,1.0,1.0,2018-01-01,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011942834285714188
2018-01-08,1.018172278347936,1.0119428342857142,1.0618806117055757,0.9599678310954936,1.0535263142643383,1.015988161560536,2018-01-08,1.0119428342857142,1.0,1.0,0.011942834285714188,0.0,0.0,1.005971417142857,1.005971417142857,0.0,0.0084448591100157,0.0084448591100157,0.0337794364400628,0.005971417142857094,0.01598816156053595,0.021907039394775916,-0.009964205109061729,0.0,0.0,0.0,0.0,0.0,0.0077362416338868645
2018-01-15,1.032007866452698,1.0197714685714288,1.0532404284307677,0.9702434422185674,1.0498595254569378,1.0205238457756245,2018-01-15,1.0197714685714288,1.0119428342857142,1.0,0.0077362416338868645,0.0,0.0,1.0105714342857144,1.0105714342857144,0.0,0.0060577243682800345,0.0060577243682800345,0.024230897473120138,0.0065596919732003505,0.004464308135364359,0.0034279816593545177,0.004308259974532347,0.011942834285714188,0.0,0.0,0.0,0.0,-0.0389443669583629
2018-01-22,1.066782783389724,0.9800571142857144,1.1406756202628388,1.0168584099483515,1.3076813155940448,1.0665607876956391,2018-01-22,0.9800571142857144,1.0197714685714288,1.0119428342857142,-0.0389443669583629,0.0,0.0,1.0039238057142859,1.0029428542857144,0.0009809514285714638,0.023283446075695734,0.023283446075695734,0.09313378430278293,0.014655860719490987,0.045111088888888595,0.09108897982772964,-0.13003334678609252,0.0077362416338868645,0.011942834285714188,0.0,0.0,0.0,-0.06419448032751685
2018-01-29,1.0087731636550117,0.9171428571428571,1.1633743377885228,1.0183569327795472,1.273536771428717,1.040707528275144,2018-01-29,0.9171428571428571,0.9800571142857144,1.0197714685714288,-0.06419448032751685,-0.08285714285714285,0.0,0.9723238133333334,0.985782854857143,-0.013459041523809612,0.03696255938366828,0.033342799299096004,0.13337119719638402,0.0307044808013702,-0.02423983679013042,-0.01667112952970067,-0.04752335079781618,-0.0389443669583629,0.0077362416338868645,0.011942834285714188,0.0,0.0,-0.025482841121495237
2018-02-05,0.9415276737437316,0.8937714514285715,1.0898676795580526,0.9425207136466456,1.188008929282134,0.9998865857832728,2018-02-05,0.8937714514285715,0.9171428571428571,0.9800571142857144,-0.025482841121495237,-0.11677673763118712,0.0,0.9303238076190476,0.970447620952381,-0.04012381333333337,0.029963849542086383,0.03003787210633041,0.12015148842532164,0.03408948251031546,-0.03922422139054493,-0.06213916487737534,0.036656323755880106,-0.06419448032751685,-0.0389443669583629,0.0077362416338868645,0.011942834285714188,0.0,0.102423045779092
2018-02-12,0.99325918262539,0.9853142457142856,1.1786207619316666,0.949210571606832,1.3263487897912096,1.043202153459527,2018-02-12,0.9853142457142856,0.8937714514285715,0.9171428571428571,0.102423045779092,-0.033789161512248755,0.0,0.9320761847619048,0.9725714244897959,-0.04049523972789115,0.0743995033623787,0.053188123891896096,0.21275249556758438,0.057761183546616746,0.04332048083465634,0.06064881874082637,0.04177422703826563,-0.025482841121495237,-0.06419448032751685,-0.0389443669583629,0.0077362416338868645,0.011942834285714188,0.017804367712292546
2018-02-19,1.0222821547641083,1.002857142857143,1.2203654438831366,0.9809472149548658,1.3616362026373592,1.0665607876956391,2018-02-19,1.002857142857143,0.9853142457142856,0.8937714514285715,0.017804367712292546,0.023263979454958283,0.0,0.9606476133333333,0.9763571392857143,-0.015709525952381065,0.0715179587737571,0.049686169984232,0.198744679936928,0.05247618373509916,0.022391282608695606,0.029413834444631082,-0.011609466732338536,0.102423045779092,-0.025482841121495237,-0.06419448032751685,-0.0389443669583629,0.0077362416338868645,0.00404562393162422
2018-02-26,0.9788520214265992,1.006914325714286,1.2205688381237838,0.9452501435830832,1.4336396058469547,1.0551082990110374,2018-02-26,1.006914325714286,1.002857142857143,0.9853142457142856,0.00404562393162422,0.09788166355140215,0.0,0.9983619047619049,0.9772214300000001,0.021140474761904837,0.05487361952583138,0.04648545509214244,0.18594182036856977,0.037438969636126,-0.010737773989746402,-0.007312993442902571,0.011358617374526791,0.017804367712292546,0.102423045779092,-0.025482841121495237,-0.06419448032751685,-0.0389443669583629,0.021394863232710337
2018-03-05,1.0524482730908842,1.02845712,1.284548542665418,0.9913298905647344,1.5783608462698024,1.0946819232411402,2018-03-05,1.02845712,1.006914325714286,1.002857142857143,0.021394863232710337,0.15069363466035046,0.0,1.0127428628571429,0.9792857157142858,0.03345714714285708,0.04463480981506811,0.04426706742070856,0.17706826968283423,0.03641697516392978,0.03750669411585106,0.06296127888245535,-0.04156641564974502,0.00404562393162422,0.017804367712292546,0.102423045779092,-0.025482841121495237,-0.06419448032751685,-0.010890054692522466
2018-03-12,1.0303929312465263,1.0172571657142857,1.2786826844946546,0.9905806264731936,1.5165008067883996,1.072683930770293,2018-03-12,1.0172571657142857,1.02845712,1.006914325714286,-0.010890054692522466,0.03241901772854572,0.0,1.0175428704761906,0.9789714278571429,0.03857144261904777,0.014696799797289587,0.04222434034465994,0.16889736137863975,0.013533727392287392,-0.02009532815314563,-0.01711328549753115,0.0062232308050086844,0.021394863232710337,0.00404562393162422,0.017804367712292546,0.102423045779092,-0.025482841121495237,-0.07347490004550272
