timestamp,aapl_close,aapl_volume,aapl_return_1,sequence_lag_1,sequence_lag_2,sequence_lag_3,sequence_lag_4,sequence_lag_5,sequence_lag_6,sequence_lag_7,sequence_lag_8,sequence_lag_9,sequence_lag_10,sequence_lag_11,sequence_lag_12,aapl_volatility_12,aapl_volume_change_1,label
2010-04-09,7.238087177276611,2667198800,0.02466417901883844,0.0219576809732982,0.03892009718861544,-0.01919687485084265,0.034939452517272374,0.07003233024287114,0.014627981290401104,0.006437842104263236,0.025171031876293215,0.01770279289094967,-0.028773677006770138,-0.039721908199229494,-0.028540888230133565,0.030733106213884583,0.2689712041605832,0.02320175496096044
2010-04-16,7.4060235023498535,2170644000,0.02320175496096044,0.02466417901883844,0.0219576809732982,0.03892009718861544,-0.01919687485084265,0.034939452517272374,0.07003233024287114,0.014627981290401104,0.006437842104263236,0.025171031876293215,0.01770279289094967,-0.028773677006770138,-0.039721908199229494,0.025710691814074087,-0.1861708995969854,0.09470480004033077
2010-04-23,8.107409477233887,3878022400,0.09470480004033077,0.02320175496096044,0.02466417901883844,0.0219576809732982,0.03892009718861544,-0.01919687485084265,0.034939452517272374,0.07003233024287114,0.014627981290401104,0.006437842104263236,0.025171031876293215,0.01770279289094967,-0.028773677006770138,0.029256052406122286,0.7865768868593837,-0.03596295126531612
2010-04-30,7.815843105316162,3048119200,-0.03596295126531612,0.09470480004033077,0.02320175496096044,0.02466417901883844,0.0219576809732982,0.03892009718861544,-0.01919687485084265,0.034939452517272374,0.07003233024287114,0.014627981290401104,0.006437842104263236,0.025171031876293215,0.01770279289094967,0.03479004527193847,-0.2140016519760175,-0.09663357556162944
2010-05-07,7.060570240020752,5023144000,-0.09663357556162944,-0.03596295126531612,0.09470480004033077,0.02320175496096044,0.02466417901883844,0.0219576809732982,0.03892009718861544,-0.01919687485084265,0.034939452517272374,0.07003233024287114,0.014627981290401104,0.006437842104263236,0.025171031876293215,0.049416549457061865,0.6479486760229063,0.07614704011031481
2010-05-14,7.598211765289307,3846668000,0.07614704011031481,-0.09663357556162944,-0.03596295126531612,0.09470480004033077,0.02320175496096044,0.02466417901883844,0.0219576809732982,0.03892009718861544,-0.01919687485084265,0.034939452517272374,0.07003233024287114,0.014627981290401104,0.006437842104263236,0.05235322141436481,-0.23421108373560462,-0.045307743743883244
2010-05-21,7.25395393371582,5078046400,-0.045307743743883244,0.07614704011031481,-0.09663357556162944,-0.03596295126531612,0.09470480004033077,0.02320175496096044,0.02466417901883844,0.0219576809732982,0.03892009718861544,-0.01919687485084265,0.034939452517272374,0.07003233024287114,0.014627981290401104,0.05572683602264643,0.3201155909478022,0.06008554462984872
2010-05-28,7.689811706542969,4134796400,0.06008554462984872,-0.045307743743883244,0.07614704011031481,-0.09663357556162944,-0.03596295126531612,0.09470480004033077,0.02320175496096044,0.02466417901883844,0.0219576809732982,0.03892009718861544,-0.01919687485084265,0.034939452517272374,0.07003233024287114,0.054911966156792405,-0.18575056738355133,-0.0035809549180043643
2010-06-04,7.6622748374938965,2973432000,-0.0035809549180043643,0.06008554462984872,-0.045307743743883244,0.07614704011031481,-0.09663357556162944,-0.03596295126531612,0.09470480004033077,0.02320175496096044,0.02466417901883844,0.0219576809732982,0.03892009718861544,-0.01919687485084265,0.034939452517272374,0.0547528803790492,-0.2808758370787011,-0.009572122144843931
2010-06-11,7.588930606842041,4064457600,-0.009572122144843931,-0.0035809549180043643,0.06008554462984872,-0.045307743743883244,0.07614704011031481,-0.09663357556162944,-0.03596295126531612,0.09470480004033077,0.02320175496096044,0.02466417901883844,0.0219576809732982,0.03892009718861544,-0.01919687485084265,0.05432986040063299,0.3669246850104526,0.08110119790958814
